,log,ada,rf,rsf,cox,WAFT
30,0.7155799102901209,0.5968468966126788,0.7107519278785602,"(0.7160255128119652, 32219, 12778, 0, 0)","(0.708536124630531, 31882, 13115, 0, 0)",0.721788894535652
31,0.6927576927576927,0.5834912834912835,0.6845442845442845,"(0.7046743042649792, 29955, 12554, 0, 0)","(0.6894304735467783, 29307, 13202, 0, 0)",0.6898794898794899
32,0.7129111658089058,0.5865965540389348,0.7065003356455583,"(0.7113645566203266, 31623, 12831, 0, 0)","(0.7047284833760742, 31328, 13126, 0, 0)",0.7096442157082121
33,0.6900789255054002,0.6093995199852303,0.6871711437274993,"(0.7180227836941139, 30947, 12153, 1, 0)","(0.6919097004709868, 29822, 13279, 0, 0)",0.6863634265669712
34,0.7093256715591248,0.5996376811594203,0.70354472445306,"(0.7088175934303014, 30555, 12552, 0, 0)","(0.7022757324796437, 30273, 12834, 0, 0)",0.7021946829133204
35,0.6776057030481809,0.6186086529006883,0.7004916420845625,"(0.7090989922940131, 28710, 11778, 0, 0)","(0.674792531120332, 27321, 13167, 0, 0)",0.6841445427728614
36,0.6857910046990379,0.6091519355560528,0.6900537032893265,"(0.7115081686844592, 31618, 12820, 0, 0)","(0.6766731176020523, 30070, 14368, 0, 0)",0.6868650704855672
37,0.694695599758891,0.5798442064264849,0.6962373069968006,"(0.6979399701715138, 29950, 12962, 0, 0)","(0.6783184190902312, 29108, 13804, 0, 0)",0.6989613761765661
38,0.7127387078330475,0.5526014865637507,0.6940308747855918,"(0.7053222319333916, 30666, 12812, 0, 0)","(0.7047242283453701, 30640, 12838, 0, 0)",0.7163979416809606
39,0.6855691917054592,0.6169652513283491,0.6913410448112098,"(0.7160444234404537, 30303, 12017, 0, 0)","(0.6825614366729679, 28886, 13434, 0, 0)",0.6859453613579725
40,0.7046332046332047,0.5651573651573651,0.7011232011232011,"(0.7165772885501929, 30466, 12050, 0, 0)","(0.6997130492050052, 29749, 12767, 0, 0)",0.7049140049140049
41,0.6840902797009139,0.5949759992615158,0.6914981999446137,"(0.7151343574511533, 30818, 12276, 0, 0)","(0.6798162157144846, 29296, 13798, 0, 0)",0.6861903443182867
42,0.6911058801809287,0.5734099510754177,0.6871942213606572,"(0.711318915908669, 30655, 12441, 0, 0)","(0.6925004640801931, 29844, 13252, 0, 0)",0.6956752515462015
43,0.6973848935874253,0.5850836926786294,0.6906848425835768,"(0.7308589014268395, 31348, 11544, 0, 0)","(0.6929497342161709, 29722, 13170, 0, 0)",0.6895720313441832
44,0.6774362477231329,0.6045537340619308,0.6954234972677595,"(0.7141909207395204, 31213, 12491, 0, 0)","(0.6746293245469522, 29484, 14220, 0, 0)",0.6841985428051002
45,0.6881848882354292,0.598509039950378,0.6812354981736314,"(0.6938737781064405, 30026, 13247, 0, 0)","(0.6788759734707555, 29377, 13896, 0, 0)",0.6794780491166809
46,0.6778917955388544,0.5874885580767933,0.6838295514766103,"(0.7015590200445434, 28980, 12328, 0, 0)","(0.6763338820567445, 27938, 13370, 0, 0)",0.6795538854362384
47,0.7184079265127407,0.5952106890559054,0.6920012639086375,"(0.7109573502722323, 31339, 12741, 0, 0)","(0.7202359346642468, 31748, 12332, 0, 0)",0.7151353059335996
48,0.6680828915195972,0.5894884644249159,0.7045900210618055,"(0.7051394364140751, 28977, 12117, 0, 0)","(0.6674453691536477, 27428, 13666, 0, 0)",0.6846660372333987
49,0.6993058185030923,0.6163069544364509,0.7247759686987252,"(0.7264632011568612, 28635, 10782, 0, 0)","(0.6988862673465763, 27548, 11869, 0, 0)",0.6973873532752746
