x0,x1,pre
-1.647221236,1.493783454,0.3511085
0.182440129,-0.707897796,0.26593387
-0.793370507,0.498154402,0.3094849
-0.329665509,-0.823243903,0.24623996
-1.395680185,1.056619645,0.3329635
0.961355599,-0.05685267,0.34211075
0.855354674,-0.197305756,0.34388056
0.298217911,1.58465471,0.44884932
1.491297298,-1.177202028,0.2836198
-1.719543038,1.486128883,0.34672117
1.517605367,0.862407086,0.44661304
1.719215822,1.199199279,0.4736677
1.08202497,0.973163688,0.43306038
1.603006454,0.275088959,0.39209962
-1.03353069,1.483698371,0.38251707
-1.107590694,0.116145583,0.2695543
0.644891992,-0.063727238,0.33414215
0.806117077,-1.414356923,0.25477138
-0.463665405,-1.703218964,0.20433971
1.342226768,1.451322465,0.4693154
-0.744983654,-0.580400118,0.24869871
-1.076744478,0.006784287,0.26193506
1.170809627,0.033231489,0.36480466
0.243426417,1.671806511,0.4559456
0.930732933,0.73702399,0.40853488
-1.4027866,0.659630701,0.29571614
-1.579731987,-0.892521257,0.21391882
-0.052784948,0.299137201,0.3293536
0.778106482,1.007229499,0.4323737
-1.270797902,-0.349467403,0.23764384
0.446574085,1.028347111,0.40977108
1.207654305,1.706956423,0.47792682
1.678470781,1.472901669,0.49063158
-0.52079825,1.573420614,0.41516593
0.1409311,0.643371263,0.37119156
1.186121488,-0.504232475,0.3180496
0.613599457,0.078420919,0.35065386
1.596698832,0.629972915,0.43049714
1.110805877,1.322460455,0.45192072
1.618363074,0.698469813,0.44164672
0.274374552,-1.379678417,0.23176971
-0.045753097,1.084742913,0.388177
0.832105394,0.51617356,0.39459816
1.42017221,1.255773926,0.4746411
1.254305474,0.513172315,0.41474658
0.519383735,0.476908124,0.36674654
-0.785531953,1.625695808,0.40760925
1.332019141,1.461600001,0.48719415
-0.36449735,-0.010925569,0.2942014
-1.222408716,-1.466960367,0.19248018
-0.208176551,1.457635736,0.42443278
-0.555261741,-0.083007452,0.27740145
0.884292638,-0.129381831,0.34679306
0.438913397,-0.532774039,0.2855629
0.698464106,0.394238002,0.37031078
0.052601326,0.603191256,0.3625825
1.214810586,-0.298219702,0.3403746
-1.181439673,-0.821909238,0.22516984
-0.919881764,-1.142600994,0.2172743
-0.87596109,0.64451604,0.32318014
-1.452721851,1.118411632,0.3288492
0.697926236,-1.358724532,0.25213438
0.074858831,1.233961686,0.41107875
1.367486791,-0.191948477,0.3558183
-1.08030494,0.810298186,0.3330226
-0.135070854,-1.387389535,0.21680373
0.332661424,0.914052272,0.39683858
-1.657861878,1.014185931,0.3199138
-0.087248815,-1.201709139,0.2368411
-0.846760273,-1.44163705,0.20560433
-0.814352279,0.626988855,0.32863715
-0.030312916,-0.854828848,0.25497815
-1.720264425,-0.011588532,0.24731077
1.268149395,1.687643111,0.48846057
0.7583617,0.954506038,0.41957757
0.927778784,0.052322939,0.3481416
0.005338402,0.248819156,0.32649225
-0.872273667,-0.56228073,0.23628867
-1.029027093,1.591024724,0.38101748
0.044450142,1.26427253,0.41083825
0.421598243,1.497648098,0.44018757
-0.483670469,-0.928497419,0.24017745
-0.069871626,0.0043758,0.29974166
0.824673352,-1.334168707,0.2521495
-0.767894872,-0.061121265,0.2691472
1.71780934,1.45415778,0.5033622
1.028496723,1.344326379,0.46959698
-0.163422845,0.685765096,0.35403812
0.88477296,-0.965411198,0.28368893
0.625508854,-0.986037813,0.2691024
1.104587104,-1.467347675,0.25159904
1.638042399,-0.971634749,0.3078412
0.665862122,-1.478145097,0.2441769
-0.642950868,-1.704740311,0.1968752
1.544404257,-1.093331606,0.2991784
1.091848364,0.521265825,0.40163976
0.734067766,1.136643912,0.43325078
